"","sample_name","mouse_line","cre_driver_1","cre_driver_2","cre_reporter","dissection","tdTomato","pass_qc_checks","broad_type","core_intermediate","aibs_vignette_id","primary_type_id","primary_type_label","primary_type_color","secondary_type_id","secondary_type","secondary_type_color","Ly9","Ralgapa1","Gtdc1","Kif4","Twist1","Ppp1r12c","Gm10433","Defb38","Dusp19","Traf3ip2","B020004J07Rik","Casp12","2010321M09Rik","Snrpd1","Cdh19","Olfr585","Mir758","Robo2","Chodl","Slc38a9","Ptplb","2900092E17Rik","Gm14434","1810013D10Rik","Gm5878","Rnd3","Msmb","Ppp6c","Foxd4","Bcl11b","Zfp68","Rufy2","Anpep","Lrp10","Ranbp10","Zar1l","Lfng","Strn4","Yme1l1","Pllp","Olfr98","Mup8","Ppp1r26","c5_tRNA-Ser-AGY","1700061F12Rik","Swi5","Krt40","Pomc","C4bp-ps1","Mir688","xpos"
"1","Ctgf_tdTpositive_cell_24","Ctgf","Ctgf-2A-dgCre",NA,"RCL-tdT (Ai14)","L6b","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,2.890421019,2.255200117,0,0,1.90314427,1.103119254,0,0,0,0,0,0,1.079181246,0,0,0,2.383815366,0,0,0,1.113943352,1.752969865,0,0,0.602059991,0,0,0,0.465382851,1.826074803,2.299420126,0,0,1.963787827,0,0,0,2.994756945,0,0,0,0.378397901,0,0,2.638898399,0,0,0,0,1
"2","Cux2_tdTpositive_cell_123","Cux2","Cux2-CreERT2",NA,"RCL-tdT (Ai14)","All","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,2.707570176,2.475554974,0,0,0.477121255,1.645913275,0,0,0,0,0,0.301029996,2.607433576,0,0,0,1.799340549,0,1,0,2.149342299,0,0,0,2.040997692,0,0,0,0,0,2.32230201,0,0,1.322219295,1.255272505,0,2.998385771,1.808346036,0,0,0,0.489958479,0,0,2.096875268,0,0,0,0,2
"3","Cux2_tdTpositive_cell_124","Cux2","Cux2-CreERT2",NA,"RCL-tdT (Ai14)","All","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,2.776701184,2.004149342,0,0,0,0.830588669,0,0,0,0,0,0.903089987,2.025305865,0,0,0,2.08278537,0,0.84509804,0,1.982271233,2.243236538,0,0,0,0,0,0,0.451786436,0,1.086003706,0,0,0,0,0,1.995635195,2.631443769,0,0,0,0.478566496,0,0,2.148941815,0,0,0,0,3
"4","Cux2_tdTnegative_cell_16","Cux2","Cux2-CreERT2",NA,"RCL-tdT (Ai14)","L2/3","negative","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,1.146128036,3.418693968,0,0,0,1.226599905,0,2.193124598,0,0.85308953,0,1.204391332,2.85308953,0,0,0,2.662908864,0,0,0,2.527694331,2.643955772,0.301029996,0,0,0,0,0,0.369215857,0,2.66143405,0,0,1.62324929,2.10720997,0,0.301029996,3.421154595,0,0,0,0.309630167,0,0,3.084232996,0,0,0,0,4
"5","Gad2_tdTpositive_cell_78","Gad2","Gad2-IRES-Cre",NA,"RCL-tdT (Ai14)","All","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,1.342422681,1.815312044,0,0,1,1.415807728,0,0,0,0.46686762,0,0,0,0,0,0,3.049992857,0,0,0,0,2.537088362,0,0,0.477121255,0,0,0,0.498310554,0.301029996,2.363517967,0,0,0,0,0,0,3.204933522,2.424881637,0,0,0,0,0,0,0,0,0,0,5
"6","Gad2_tdTpositive_cell_79","Gad2","Gad2-IRES-Cre",NA,"RCL-tdT (Ai14)","All","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,2.641107086,2.133666623,0,0,0,1.550595207,0,0.477121255,0,0,0,0,2.457881897,0,0,0,0,0,0,0,0,0.445604203,0,0,0,0,0,0,0,3.288921839,1.420945406,0,0,0,0,0,2.644674876,2.897077003,0,0,0,0.698970004,0,0,0,0,0,0,0,6
"7","Gad2_tdTpositive_cell_80","Gad2","Gad2-IRES-Cre",NA,"RCL-tdT (Ai14)","All","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,2.5289167,2.099507994,0,0,1.62324929,0.894869657,0,2.397940009,0,0,0,0,2.318063335,0,0,0,2.389166084,0,0,0,0,0,0,0,0.77815125,0,0,0,1.079181246,0,0.677606953,0,0,0,0,0,0,3.172018809,0,0,0,0,0,0,2.294466226,0,0,0,0,7
"8","Ndnf_tdTpositive_cell_20","Ndnf","Ndnf-IRES2-dgCre",NA,"RCL-tdT (Ai14)","All","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.139879086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77815125,0,0,0,0,0,0,0.301029996,0,0,0,0,8
"9","Ndnf_tdTpositive_cell_21","Ndnf","Ndnf-IRES2-dgCre",NA,"RCL-tdT (Ai14)","All","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,0.301029996,1.43679851,0,0,0,1.710117365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.475235223,0,2.403086188,0,3.802226238,0,0,0,1.122870923,0,0,0,0,0,0,2.603901832,0,0,0,0.365487985,0,0,0,0,0,0,0,9
"10","Nkx2-1_tdTpositive_cell_23","Nkx2-1","Nkx2-1-CreERT2",NA,"RCL-tdT (Ai14)","lower","positive","N","Unclassified","unclassified","N/A",0,"Unclassified","#000000",0,"none","#808080",0,2.705846614,2.672827229,0,0,0.477121255,0.619093331,0,0,0,0,0,0,2.290034611,0,0,0,2.090011024,0,2.276461804,0,0,0.158362492,2.394451681,0,2.659868682,0,0.84509804,0,2.31731102,1.079181246,2.415957746,0,0,1,0,0,0,2.818225894,0.301029996,0.301029996,0,0.57863921,0,0,0,0,0,0,0,10
